date,storename,storeid,qty_notes,score
2015-03-01T01:03:00Z,AUTOMERCADO,AM1,5,-0.106704985164106
2015-03-01T01:03:00Z,AUTOMERCADO,AM10,1,0.392955932766199
2015-03-01T01:03:00Z,AUTOMERCADO,AM14,2,0.22345439856872
2015-03-01T01:03:00Z,AUTOMERCADO,AM20,5,-0.00377381909638643
2015-03-01T01:03:00Z,AUTOMERCADO,AM22,3,-0.748086422681808
2015-03-01T01:03:00Z,AUTOMERCADO,AM23,1,0.733234616927803
2015-03-01T01:03:00Z,AUTOMERCADO,AM3,1,0.471502455882728
2015-03-01T01:03:00Z,AUTOMERCADO,AM30,4,0.385072929784656
2015-03-01T01:03:00Z,AUTOMERCADO,AM38,1,0.077527373097837
2015-03-01T01:03:00Z,AUTOMERCADO,AM5,4,-0.566607315093279
2015-03-01T01:03:00Z,AUTOMERCADO,AM7,1,0.87764909490943
2015-03-01T01:03:00Z,MASXMENOS,MXM12,3,-0.386143786211809
2015-03-01T01:03:00Z,MASXMENOS,MXM15,3,0.556812354673942
2015-03-01T01:03:00Z,MASXMENOS,MXM18,4,-0.0332615873776376
2015-03-01T01:03:00Z,MASXMENOS,MXM21,4,-0.0225997839588672
2015-03-01T01:03:00Z,MASXMENOS,MXM24,1,0.754721093922853
2015-03-01T01:03:00Z,MASXMENOS,MXM36,4,0.169484813697636
2015-03-01T01:03:00Z,MASXMENOS,MXM4,5,0.0160514494404197
2015-03-01T01:03:00Z,MASXMENOS,MXM46,3,-0.252017223276198
2015-03-01T01:03:00Z,MASXMENOS,MXM9,2,0.333256387617439
2015-03-01T01:03:00Z,MEGASUPER,MEGASUPER13,3,-0.47692561460038
2015-03-01T01:03:00Z,MEGASUPER,MEGASUPER2,4,-0.0850484736729413
2015-03-01T01:03:00Z,MEGASUPER,MEGASUPER42,5,0.0444816909730434
2015-03-01T01:03:00Z,MEGASUPER,MEGASUPER50,2,0.963979664258659
2015-03-01T01:03:00Z,MEGASUPER,MEGASUPER62,7,0.145393435976335
2015-03-01T01:03:00Z,MEGASUPER,MEGASUPER64,1,-0.761927729472518
2015-03-01T01:03:00Z,PALI,PALI16,1,0.351533164270222
2015-03-01T01:03:00Z,PALI,PALI32,4,0.498215354280546
2015-03-01T01:03:00Z,PALI,PALI54,1,-0.342189905233681
2015-03-01T01:03:00Z,PALI,PALI6,5,-0.0600532868877053
2015-03-01T01:03:00Z,PALI,PALI66,2,0.0284683560021222
2015-03-01T01:03:00Z,VINDI,VINDI11,1,0.0142168272286654
2015-03-01T01:03:00Z,VINDI,VINDI17,2,0.546174852643162
2015-03-01T01:03:00Z,VINDI,VINDI40,1,0.876885901205242
