id,date,storename,score,texto
0,2016-05-18 09:28:51,masxmenos,0.0,Donde esta
1,2016-05-18 09:58:51,masxmenos,0.619882,"Buen día, la publicación de nuestro #MIercolesFrescos ya se encuentra en nuestro muro desde anoche =)"
2,2016-05-19 14:02:37,vindi,0.819428,Amiga felicidades Ingrid Mariel vistessss ganastes
3,2016-05-19 14:03:27,vindi,0.987157,Yuumi que delicioso premio para mis hijos y para mi :) Gracias Jenni Trejos
4,2016-05-19 22:01:09,vindi,0.901629,"muchas felicidades Ingrid Mariel, que lo disfrute =)"
5,2016-05-20 10:49:21,vindi,0.0,Donde
6,2016-05-20 11:32:41,maxipali,0.560029,Sebastian Rojas bea amor los basurero q lindos
7,2016-05-20 11:47:28,vindi,0.909832,¡Hola Jessica! En todos los Vindi :P
8,2016-05-20 12:26:29,vindi,0.477269,Gracias
9,2016-05-20 13:15:38,maxipali,0.555173,Patricia Ramos para la casa
10,2016-05-20 15:32:20,maxipali,0.0,Marcos Jimenez
11,2016-05-20 16:06:26,maxipali,0.874187,Los esperamos :D
12,2016-05-20 16:06:30,maxipali,0.874187,Los esperamos :D
13,2016-05-20 16:36:39,vindi,0.0,Mery Ellen Brenes Pilar Echeverri
14,2016-05-20 21:54:46,maxipali,0.890906,Si mi vida bamos aser la fuercita para ir ah comprarlo gracias amor mío
15,2016-05-21 11:22:49,masxmenos,-0.423901,Cuando  vienen  a sto domingo
16,2016-05-21 12:49:41,masxmenos,0.21926,Cando a alajuela
17,2016-05-21 14:21:17,vindi,0.157292,En español mejor !!!!pero ok !!! Empresa nacional !!!!!
18,2016-05-21 15:46:29,masxmenos,-0.696359,"Your store screwed me out of 18,400 colones today I envolved the police to see your security footage and prove you are thieves I had the police come to you so I can look at your security footage and prove myself don't worry you have lost about $600- worth of buisness a month from me I am shopping from now on at Atlantis Plaza down the street .plus I am going to tell of this experiance with your store over multiple social medias so you can expect less  people shopping becouse of your ignorance you can not do anything about it now you made your bed and have to lay down all I sa will be the truth and you will look like a store that can't be trusted"
19,2016-05-21 16:35:47,maxipali,0.723028,"Hola!! Soy Doris quisiera saber lo modelos de lavadoras autómaticas de 16 libras y las marcas,y los precios por fvr envieme el número de telefono mi número es 84238612 gracias"
20,2016-05-21 20:41:45,masxmenos,0.535097,Hola! hasta cuando tienen  estos precios y si es en cualquier mas x menos?
21,2016-05-21 21:32:36,masxmenos,-0.21558,Cuando regresan a San Joaquín!!!?
22,2016-05-22 00:16:36,vindi,0.0,promosi.....
23,2016-05-22 09:35:57,masxmenos,0.557255,Buenas  hoy la pasta  de cerdo  y el muslo degustado  también está en oferta
24,2016-05-22 09:36:33,masxmenos,0.0,En el masxmenos  de desamparados
25,2016-05-22 12:53:58,maxipali,0.238319,Laura Arroyo vea una zapatera y el aplanchador 
26,2016-05-22 18:26:11,vindi,0.209258,Claro q si
27,2016-05-23 08:43:58,vindi,0.0,Cero ?
28,2016-05-23 09:56:19,masxmenos,0.670823,"Buen día, actualmente no contamos con esa información pero al tener lo publicaremos en nuestro muro."
29,2016-05-23 09:56:27,masxmenos,0.694512,"Buen día Joshua Perez Alfaro, actualmente no contamos con esa información pero al tener lo publicaremos en nuestro muro."
30,2016-05-23 09:56:30,masxmenos,0.670823,"Buen día, actualmente no contamos con esa información pero al tener lo publicaremos en nuestro muro."
31,2016-05-23 09:57:12,masxmenos,0.493386,ok gracias
32,2016-05-23 09:57:29,masxmenos,0.586709,"Buen día, estos precios aplican durante el fin de semana. Saludos =)"
33,2016-05-23 09:58:20,masxmenos,0.900167,"Buen día, las ofertas de esta imagen son de fin de semana. Saludos"
34,2016-05-23 09:58:29,masxmenos,-0.310325,Aplican en todas nuestras sucursales =)
35,2016-05-23 12:07:54,vindi,0.0,Siii
36,2016-05-23 13:48:44,vindi,0.371957,Ambas son veneno
37,2016-05-23 22:50:51,vindi,-0.484309,La zero es un asco
38,2016-05-24 11:01:20,maxipali,0.544347,Ve aquí están todas la ofertas ma Victoria Espinoza
39,2016-05-24 11:31:39,maxipali,0.212774,Teresa Murillo
40,2016-05-24 12:00:29,maxipali,0.0,GaBy Quirós
41,2016-05-24 12:06:17,maxipali,0.321885,Maynor Ruiz Rodriguez vea!!
42,2016-05-24 12:15:41,vindi,0.959098,Mi mejor secreto para cuidar el cabello es usar los productos TRESemmé que ahora puedo adquirir en Vindi   son una maravilla
43,2016-05-24 12:29:37,vindi,0.0,Cortar puntas cada tres meses y procurar usar productos TRESemmé.
44,2016-05-24 12:46:53,vindi,0.725414,corto puntas y uso los productos Tresmme son una maravilla gracias #Vindi
45,2016-05-24 12:54:20,vindi,-0.341777,Usar productoa Tresemme y no abusar de la plancha
46,2016-05-24 13:06:33,vindi,0.0,"Usar un buen shampo y acondicionador para el tipo de cabello, procurar estar cortandose las puntas y ponerse tratamientos naturales"
47,2016-05-24 13:07:16,vindi,0.0,Uyyyy qué difícil es mantener el cabello bonito y todas tenemos diferentes tips pero al menos yo qué nado y lo expongo al agua con cloro lo que hago es lavarlo todos los días e hidratarlo con una crema para peinar pero tomar agua y comer frutas ayuda a mantener el cabello sano
48,2016-05-24 13:09:13,vindi,0.0,Una vez a la semana me hago una gorra con aceite de oliva ?
49,2016-05-24 13:10:52,vindi,0.0,"Tengo miles de secretos jajaja, aceite de coco en las puntas ?el día antes del lavado, mascarilla de gelatina sin sabor... Y claro usar productos de calidad como TRESemmé."
50,2016-05-24 13:11:23,vindi,0.601155,Mi secreto es #TRESemme me gusta mantener mi cabello suave brillante y liso asi q cuido mi cabello con sus productos y luego me plancho mi cabello ?
51,2016-05-24 13:12:11,vindi,0.874139,Leche de coco y limon :)
52,2016-05-24 13:15:36,vindi,0.0,"Cortar las puntas cada dos meses, utilizar aceite de argan y coco, además de cuidar mi cabello con los productos #TRESemmé"
53,2016-05-24 13:15:49,vindi,0.0,Mi secreto es el Romero.... en el shampoo y el rince le hecho Romero  y una vez ala semana lo.lavo con agüita de romero.
54,2016-05-24 13:16:34,vindi,-0.653153,Yo uso aceite de coco pero creo que nesecito algun otro tratamiento px lo tengo seco seco
55,2016-05-24 13:16:59,vindi,0.357511,Usar tratamientos naturales y TRESemme
56,2016-05-24 13:17:29,vindi,0.950955,"Mi secreto es usar los excelentes productos TRESemme, que dejan mi cabello hidratado y con brillo!!!"
57,2016-05-24 13:17:29,vindi,0.0,"Un nuevo secreto innovador que me atreví a utilizar fueron los productos #TRESemmé  Blindaje PLATINUM,  obteniendo un mantenimiento divino, voy por ese premio a mi #vindi"
58,2016-05-24 13:18:55,vindi,0.53905,Lo mejor es  TRESemme. Que por su caludad y suavidad con el cabello de toda mi familua y su prestigio   y su facidad que esta a300 metro s de mi casa en vindi
59,2016-05-24 13:19:28,vindi,0.943865,"Mi secreto para el cuidado de mi cabello es no lavarmelo todos los días y me pongo gotitas para las puntas, evito utilizar la plancha y el secador, y tambien me hago una mascarilla de salsa de tomate con aceite de almendras, le ayuda un monton a reparar el cabello, esa mascara la utilizo una vez por semana y me ha resultado genial!"
60,2016-05-24 13:19:35,vindi,0.0,Mi secreto es lavarlo día por medio
61,2016-05-24 13:19:48,vindi,0.613469,Poner gotitas de aceite de almendras
62,2016-05-24 13:21:51,vindi,0.820206,"Mi mejor secreto es jugo de naranja, miel de abeja y aloe, se revuelve bien y se pone en el cabello se deja actuar una media hora y se lava como de costumbre, queda sedoso con brillo y huele riquísimo ! "
63,2016-05-24 13:22:52,vindi,0.771401,Mi secreto es dejarme el champú mientras hago el oficio de la casa y despues lavarlo con un buen acondionador porsupuesto que sea la marca TRESemm queda bello
64,2016-05-24 13:24:34,vindi,0.792542,yema de huevo con miel :)
65,2016-05-24 13:24:40,vindi,0.45788,Mi secreto es cortar puntitas y un buen aceite
66,2016-05-24 13:25:12,vindi,0.657753,"Yo lo que hago es no lavarlo todos los días y usar aceite de argan en las puntas, una amiga me recomendó los productos TRESemme y esta oportunidad de Vindi sería genial para ponerlos probar!"
